id;transport_package_id;direction_id;operator_id;answer_code;answer_content;attemps;last_time_of_attemps;content;created_at
1;2212;22067;Credit Card Account contextually-based;66737;Senior pixel bandwidth;82895;2020-03-04;silver Som;2020-03-04
2;76633;94374;payment Planner;54804;Clothing;21811;2020-03-03;Sierra Leone Angola reintermediate;2020-03-03
3;10919;75697;monitor Alabama;22348;Manager;43561;2020-03-03;SAS Washington;2020-03-03
4;71430;86430;auxiliary Integrated;50796;purple Mongolia;35366;2020-03-04;program User-friendly;2020-03-04
5;40168;12080;Australian Dollar;77508;monitor programming payment;48103;2020-03-04;Home Loan Account SDR;2020-03-03
6;15138;88850;Pennsylvania;99827;Handcrafted Frozen Bike;7643;2020-03-04;platforms invoice;2020-03-04
7;95399;53544;Arkansas bandwidth;74043;Mouse Refined Concrete Mouse;56744;2020-03-03;Arizona Plastic Licensed;2020-03-04
8;90807;98107;Buckinghamshire primary;95257;card Pakistan Rupee implement;48996;2020-03-04;web-readiness Shirt paradigms;2020-03-03
9;12808;61935;Home Loan Account Costa Rica;265;Chief;28993;2020-03-04;cultivate fault-tolerant Investor;2020-03-03
10;36252;26784;USB;51519;back-end convergence;23068;2020-03-04;Plastic;2020-03-04
