id;transport_package_id;repeat_num;created_at;answer_code;answer_content
1;31095;41410;2020-03-03;71577;Garden system
2;64634;87568;2020-03-03;51823;Internal
3;66083;27635;2020-03-03;26381;Delaware
4;82654;5660;2020-03-04;9320;Synergistic
5;58305;4401;2020-03-04;35604;Lek Czech Republic Legacy
6;12776;25124;2020-03-03;80353;RAM frame
7;56067;7842;2020-03-03;99110;Intranet Path
8;47466;28462;2020-03-03;59591;Guinea Turkish Lira
9;29324;2696;2020-03-04;36358;Avon magenta Concrete
10;84571;35407;2020-03-03;50953;portals
